variables,units,values,description
sse_tune.v_min,m/s,[4.],cut-in wind speed
sse_tune.v_max,m/s,[25.],cut-out wind speed
sse_tune.r,m,"[  3.           6.44228387   9.88456774  13.32685161  16.76913548
  20.21141935  23.65370322  27.09598709  30.53827096  33.98055483
  37.4228387   40.86512257  44.30740645  47.74969032  52.91311612
  54.63425806  58.07654193  61.5188258   64.96110967  68.40339354
  71.84567741  75.28796128  78.73024515  82.17252902  85.61481289
  89.05709676  92.49938063  95.9416645   97.83492063 102.82623224]",radial locations where blade is defined (should be increasing and not go all the way to hub or tip)
sse_tune.chord,m,"[4.5        4.51653455 4.59255455 4.72026865 4.75       4.75
 4.75       4.75       4.75       4.75       4.75       4.7
 4.64       4.48       4.19455297 4.07109567 3.83078655 3.59377787
 3.3535724  3.10972681 2.86394905 2.61780457 2.37255549 2.12536608
 1.87360817 1.6133977  1.34551447 1.07050448 0.9160029  0.5       ]",chord length at each section
sse_tune.theta,deg,"[20.00195663 18.69281516 17.2377519  15.65295517 13.95461328 11.79009053
  9.03064626  6.5144527   5.09276755  5.0077812   5.0116826   5.01638643
  5.01964587  4.95593318  4.3457029   4.06268279  3.50206274  3.05626337
  2.68371866  2.31332694  1.88993479  1.35002871  0.55363202 -0.40943438
 -1.37877001 -2.1966151  -2.89699591 -3.548985   -3.88445878 -4.67882768]",twist angle at each section (positive decreases angle of attack)
sse_tune.Rhub,m,[3.],hub radius
sse_tune.Rtip,m,[102.82623224],tip radius
sse_tune.hub_height,m,[140.],hub height
sse_tune.precone,deg,[2.],precone angle
sse_tune.tilt,deg,[4.],shaft tilt
sse_tune.yaw,deg,[0.],yaw error
sse_tune.precurve,m,"[ 0.          0.01458961  0.05222308  0.10814189  0.1742505   0.24113677
  0.30008558  0.34265121  0.35982107  0.34758647  0.3145081   0.26685814
  0.21087049  0.1404773  -0.02635293 -0.09075292 -0.23512381 -0.39413733
 -0.58577711 -0.80529181 -1.0451699  -1.29121723 -1.5637297  -1.85903588
 -2.17067421 -2.49837779 -2.84335536 -3.20952152 -3.42254912 -4.        ]",precurve at each section
sse_tune.precurveTip,m,[-4.],precurve at tip
sse_tune.presweep,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",presweep at each section
sse_tune.presweepTip,m,[0.],presweep at tip
sse_tune.rho,kg/m**3,[1.225],density of air
sse_tune.mu,kg/m/s,[1.81e-05],dynamic viscosity of air
sse_tune.aeroperf_tables.shearExp,,[0.],shear exponent
sse_tune.airfoils_cl,,"[[[[ 0.          0.          0.        ]]

  [[ 0.          0.          0.        ]]

  [[ 0.          0.          0.        ]]

  ...

  [[ 0.          0.          0.        ]]

  [[ 0.          0.          0.        ]]

  [[ 0.          0.          0.        ]]]


 [[[ 0.          0.          0.        ]]

  [[ 0.00226138  0.00226138  0.00226138]]

  [[ 0.00452276  0.00452276  0.00452276]]

  ...

  [[-0.00452276 -0.00452276 -0.00452276]]

  [[-0.00226138 -0.00226138 -0.00226138]]

  [[ 0.          0.          0.        ]]]


 [[[ 0.          0.          0.        ]]

  [[ 0.02249114  0.02249114  0.02249114]]

  [[ 0.04498229  0.04498229  0.04498229]]

  ...

  [[-0.04498229 -0.04498229 -0.04498229]]

  [[-0.02249114 -0.02249114 -0.02249114]]

  [[ 0.          0.          0.        ]]]


 ...


 [[[ 0.          0.          0.        ]]

  [[ 0.09687692  0.11579979  0.1152312 ]]

  [[ 0.19375384  0.23159959  0.2304624 ]]

  ...

  [[-0.19375384 -0.23159959 -0.2304624 ]]

  [[-0.09687692 -0.11579979 -0.1152312 ]]

  [[ 0.          0.          0.        ]]]


 [[[ 0.          0.          0.        ]]

  [[ 0.09551385  0.1033368   0.1129884 ]]

  [[ 0.1910277   0.2066736   0.2259768 ]]

  ...

  [[-0.1910277  -0.2066736  -0.2259768 ]]

  [[-0.09551385 -0.1033368  -0.1129884 ]]

  [[ 0.          0.          0.        ]]]


 [[[ 0.          0.          0.        ]]

  [[ 0.20244966  0.20244966  0.20244966]]

  [[ 0.40489932  0.40489932  0.40489932]]

  ...

  [[-0.40489932 -0.40489932 -0.40489932]]

  [[-0.20244966 -0.20244966 -0.20244966]]

  [[ 0.          0.          0.        ]]]]","lift coefficients, spanwise"
sse_tune.airfoils_cd,,"[[[[0.5        0.5        0.5       ]]

  [[0.5        0.5        0.5       ]]

  [[0.5        0.5        0.5       ]]

  ...

  [[0.5        0.5        0.5       ]]

  [[0.5        0.5        0.5       ]]

  [[0.5        0.5        0.5       ]]]


 [[[0.48317224 0.48317224 0.48317224]]

  [[0.48317224 0.48317224 0.48317224]]

  [[0.48317224 0.48317224 0.48317224]]

  ...

  [[0.48317224 0.48317224 0.48317224]]

  [[0.48317224 0.48317224 0.48317224]]

  [[0.48317224 0.48317224 0.48317224]]]


 [[[0.34328947 0.34328947 0.34328947]]

  [[0.34328947 0.34328947 0.34328947]]

  [[0.34328947 0.34328947 0.34328947]]

  ...

  [[0.34328947 0.34328947 0.34328947]]

  [[0.34328947 0.34328947 0.34328947]]

  [[0.34328947 0.34328947 0.34328947]]]


 ...


 [[[0.16276382 0.18052688 0.24367898]]

  [[0.16305326 0.18083626 0.24411231]]

  [[0.16385557 0.18171541 0.24531347]]

  ...

  [[0.16385557 0.18171541 0.24531347]]

  [[0.16305326 0.18083626 0.24411231]]

  [[0.16276382 0.18052688 0.24367898]]]


 [[[0.16611716 0.20973775 0.25365742]]

  [[0.16641256 0.21011072 0.2541085 ]]

  [[0.1672314  0.21114458 0.25535885]]

  ...

  [[0.1672314  0.21114458 0.25535885]]

  [[0.16641256 0.21011072 0.2541085 ]]

  [[0.16611716 0.20973775 0.25365742]]]


 [[[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]

  ...

  [[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]]]","drag coefficients, spanwise"
sse_tune.airfoils_cm,,"[[[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  ...

  [[-2.77555756e-17 -2.77555756e-17 -2.77555756e-17]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]


 [[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 3.77966092e-03  3.77966092e-03  3.77966092e-03]]

  [[ 7.55932184e-03  7.55932184e-03  7.55932184e-03]]

  ...

  [[-9.13529113e-03 -9.13529113e-03 -9.13529113e-03]]

  [[-4.56764557e-03 -4.56764557e-03 -4.56764557e-03]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]


 [[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 3.51557992e-02  3.51557992e-02  3.51557992e-02]]

  [[ 7.03115984e-02  7.03115984e-02  7.03115984e-02]]

  ...

  [[-8.49630101e-02 -8.49630101e-02 -8.49630101e-02]]

  [[-4.24815051e-02 -4.24815051e-02 -4.24815051e-02]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]


 ...


 [[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 1.20000000e-01  1.20000000e-01  1.20000000e-01]]

  [[ 2.40000000e-01  2.40000000e-01  2.40000000e-01]]

  ...

  [[-3.00000000e-01 -3.00000000e-01 -3.00000000e-01]]

  [[-1.50000000e-01 -1.50000000e-01 -1.50000000e-01]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]


 [[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 1.20000000e-01  1.20000000e-01  1.20000000e-01]]

  [[ 2.40000000e-01  2.40000000e-01  2.40000000e-01]]

  ...

  [[-3.00000000e-01 -3.00000000e-01 -3.00000000e-01]]

  [[-1.50000000e-01 -1.50000000e-01 -1.50000000e-01]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]


 [[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 1.20000000e-01  1.20000000e-01  1.20000000e-01]]

  [[ 2.40000000e-01  2.40000000e-01  2.40000000e-01]]

  ...

  [[-3.00000000e-01 -3.00000000e-01 -3.00000000e-01]]

  [[-1.50000000e-01 -1.50000000e-01 -1.50000000e-01]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]]","moment coefficients, spanwise"
sse_tune.airfoils_aoa,deg,"[-180.         -177.         -174.         -171.         -168.
 -165.         -162.         -159.         -156.         -153.
 -150.         -147.         -144.         -141.         -138.
 -135.         -132.         -129.         -126.         -123.
 -120.         -117.         -114.         -111.         -108.
 -105.         -102.          -99.          -96.          -93.
  -90.          -87.          -84.          -81.          -78.
  -75.          -72.          -69.          -66.          -63.
  -60.          -57.          -54.          -51.          -48.
  -45.          -42.          -39.          -36.          -33.
  -30.          -29.39393939  -28.78787879  -28.18181818  -27.57575758
  -26.96969697  -26.36363636  -25.75757576  -25.15151515  -24.54545455
  -23.93939394  -23.33333333  -22.72727273  -22.12121212  -21.51515152
  -20.90909091  -20.3030303   -19.6969697   -19.09090909  -18.48484848
  -17.87878788  -17.27272727  -16.66666667  -16.06060606  -15.45454545
  -14.84848485  -14.24242424  -13.63636364  -13.03030303  -12.42424242
  -11.81818182  -11.21212121  -10.60606061  -10.           -9.39393939
   -8.78787879   -8.18181818   -7.57575758   -6.96969697   -6.36363636
   -5.75757576   -5.15151515   -4.54545455   -3.93939394   -3.33333333
   -2.72727273   -2.12121212   -1.51515152   -0.90909091   -0.3030303
    0.3030303     0.90909091    1.51515152    2.12121212    2.72727273
    3.33333333    3.93939394    4.54545455    5.15151515    5.75757576
    6.36363636    6.96969697    7.57575758    8.18181818    8.78787879
    9.39393939   10.           10.60606061   11.21212121   11.81818182
   12.42424242   13.03030303   13.63636364   14.24242424   14.84848485
   15.45454545   16.06060606   16.66666667   17.27272727   17.87878788
   18.48484848   19.09090909   19.6969697    20.3030303    20.90909091
   21.51515152   22.12121212   22.72727273   23.33333333   23.93939394
   24.54545455   25.15151515   25.75757576   26.36363636   26.96969697
   27.57575758   28.18181818   28.78787879   29.39393939   30.
   33.           36.           39.           42.           45.
   48.           51.           54.           57.           60.
   63.           66.           69.           72.           75.
   78.           81.           84.           87.           90.
   93.           96.           99.          102.          105.
  108.          111.          114.          117.          120.
  123.          126.          129.          132.          135.
  138.          141.          144.          147.          150.
  153.          156.          159.          162.          165.
  168.          171.          174.          177.          180.        ]",angle of attack grid for polars
sse_tune.airfoils_Re,,[3000000.],Reynolds numbers of polars
sse_tune.aeroperf_tables.pitch_vector_in,deg,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],pitch vector specified by the user
sse_tune.aeroperf_tables.tsr_vector_in,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],tsr vector specified by the user
sse_tune.aeroperf_tables.U_vector_in,m/s,[0.],wind vector specified by the user
sse_tune.nBlades,Unavailable,3,number of blades
sse_tune.aeroperf_tables.nSector,Unavailable,4,number of sectors to divide rotor face into in computing thrust and power
sse_tune.aeroperf_tables.tiploss,Unavailable,True,include Prandtl tip loss model
sse_tune.aeroperf_tables.hubloss,Unavailable,True,include Prandtl hub loss model
sse_tune.aeroperf_tables.wakerotation,Unavailable,True,"include effect of wake rotation (i.e., tangential induction factor is nonzero)"
sse_tune.aeroperf_tables.usecd,Unavailable,True,use drag coefficient in computing induction factors
sse_tune.tune_rosco.rotor_inertia,kg*m**2,[2.06749678e+08],Rotor inertia
sse_tune.tune_rosco.R,m,[102.82623224],Rotor Radius
sse_tune.tune_rosco.gear_ratio,,[96.76],Gearbox Ratio
sse_tune.tune_rosco.rated_rotor_speed,rad/s,[0.82663731],Rated rotor speed
sse_tune.rated_power,W,[5000000.],Rated power
sse_tune.tune_rosco.rated_torque,N*m,[6702051.96307658],rotor aerodynamic torque at rated
sse_tune.tune_rosco.v_rated,m/s,[8.470311],Rated wind speed
sse_tune.tune_rosco.max_pitch_rate,rad/s,[0.03488889],Maximum allowed blade pitch rate
sse_tune.tune_rosco.max_torque_rate,N*m/s,[4500000.],Maximum allowed generator torque rate
sse_tune.tsr_operational,,[10.5],Operational tip-speed ratio
sse_tune.omega_min,rad/s,[0.],Minimum rotor speed
sse_tune.tune_rosco.flap_freq,Hz,[0.58632215],Blade flapwise first natural frequency
sse_tune.tune_rosco.edge_freq,Hz,[0.89112268],Blade edgewise first natural frequency
sse_tune.tune_rosco.gearbox_efficiency,,[0.95],Gearbox efficiency
sse_tune.tune_rosco.generator_efficiency,,[0.9025],Generator efficiency
sse_tune.tune_rosco.TowerHt,m,[137.],Tower height
sse_tune.tune_rosco.max_pitch,rad,[1.57],
sse_tune.tune_rosco.min_pitch,rad,[0.],
sse_tune.tune_rosco.vs_minspd,rad/s,[0.],
sse_tune.tune_rosco.ss_vsgain,,[1.],
sse_tune.tune_rosco.ss_pcgain,,[0.001],
sse_tune.tune_rosco.ps_percent,,[0.85],
sse_tune.tune_rosco.Cp_table,,"[[ 1.80013331e-02  2.09431133e-02  2.39956201e-02  2.71597794e-02
   3.04364850e-02  3.38318682e-02  3.74271241e-02  4.13581943e-02
   4.54977957e-02  4.97437690e-02  5.40293894e-02  5.79877911e-02
   6.10527304e-02  6.27006426e-02  6.25505916e-02  6.05847287e-02
   5.71137601e-02  5.25150666e-02  4.70693017e-02  4.09571425e-02]
 [ 3.58061486e-02  4.07996461e-02  4.59747859e-02  5.14729007e-02
   5.76470963e-02  6.42456127e-02  7.11274102e-02  7.80527099e-02
   8.41957549e-02  8.86323110e-02  9.06196495e-02  8.96588624e-02
   8.59335463e-02  8.01504026e-02  7.29073048e-02  6.45509017e-02
   5.53223322e-02  4.54128240e-02  3.49716155e-02  2.40828659e-02]
 [ 6.04315293e-02  6.85173127e-02  7.77958723e-02  8.78343168e-02
   9.84210467e-02  1.08650326e-01  1.17047645e-01  1.22339120e-01
   1.23606528e-01  1.20488623e-01  1.13866682e-01  1.04828855e-01
   9.39998405e-02  8.18058095e-02  6.85564706e-02  5.44781460e-02
   3.97297572e-02  2.44020255e-02  8.54716445e-03 -7.83867304e-03]
 [ 9.35309420e-02  1.07603014e-01  1.22782418e-01  1.37710047e-01
   1.50237265e-01  1.58467926e-01  1.61125508e-01  1.57846010e-01
   1.49723443e-01  1.38198075e-01  1.24201362e-01  1.08318238e-01
   9.09856308e-02  7.24812272e-02  5.30348672e-02  3.28055592e-02
   1.18596438e-02 -9.83512659e-03 -3.23205804e-02 -5.49166848e-02]
 [ 1.38569426e-01  1.59639927e-01  1.78863703e-01  1.93341079e-01
   2.00875628e-01  2.00845370e-01  1.93900516e-01  1.81614691e-01
   1.65606567e-01  1.46792575e-01  1.25789783e-01  1.03033236e-01
   7.88315544e-02  5.35048768e-02  2.72140762e-02 -6.71329375e-05
  -2.84739355e-02 -5.79508634e-02 -8.71009686e-02 -1.13334732e-01]
 [ 1.94994388e-01  2.19149684e-01  2.36070327e-01  2.43752458e-01
   2.42577581e-01  2.33283745e-01  2.17731282e-01  1.97807082e-01
   1.74470313e-01  1.48382582e-01  1.20045294e-01  8.98801141e-02
   5.83074157e-02  2.54617743e-02 -8.78662903e-03 -4.46349832e-02
  -8.19737786e-02 -1.18913359e-01 -1.51979733e-01 -1.79080322e-01]
 [ 2.55439286e-01  2.76133937e-01  2.86077388e-01  2.85833342e-01
   2.75993190e-01  2.58507689e-01  2.35593660e-01  2.08366968e-01
   1.77552132e-01  1.43793742e-01  1.07648021e-01  6.96249075e-02
   2.98841436e-02 -1.17768182e-02 -5.55932463e-02 -1.01540199e-01
  -1.47689075e-01 -1.89742576e-01 -2.24393780e-01 -2.51733079e-01]
 [ 3.10088369e-01  3.24972575e-01  3.28363704e-01  3.20528778e-01
   3.03148639e-01  2.78756093e-01  2.48818162e-01  2.14142316e-01
   1.75541365e-01  1.33728460e-01  8.93068445e-02  4.25634928e-02
  -6.71272365e-03 -5.87865110e-02 -1.13763261e-01 -1.70241763e-01
  -2.23612250e-01 -2.68627968e-01 -3.04541300e-01 -3.32805053e-01]
 [ 3.55220841e-01  3.65799410e-01  3.63473817e-01  3.49293037e-01
   3.25820621e-01  2.95092822e-01  2.58104631e-01  2.15811169e-01
   1.69117744e-01  1.18755438e-01  6.52108480e-02  8.40488703e-03
  -5.19417832e-02 -1.16009351e-01 -1.83209279e-01 -2.49597646e-01
  -3.08315299e-01 -3.55996647e-01 -3.93747870e-01 -4.25022110e-01]
 [ 3.90557104e-01  3.98733354e-01  3.92339081e-01  3.73548290e-01
   3.44978459e-01  3.08138660e-01  2.64104897e-01  2.13983211e-01
   1.58722140e-01  9.90262002e-02  3.51253779e-02 -3.31921673e-02
  -1.06138455e-01 -1.83650978e-01 -2.63432006e-01 -3.38691269e-01
  -4.02052630e-01 -4.52822991e-01 -4.94144610e-01 -5.30681672e-01]
 [ 4.15427861e-01  4.24120428e-01  4.15980577e-01  3.94187757e-01
   3.61209609e-01  3.18484612e-01  2.67339964e-01  2.09019198e-01
   1.44500258e-01  7.44036064e-02 -1.19651063e-03 -8.24822816e-02
  -1.69534279e-01 -2.61699796e-01 -3.54100689e-01 -4.37349458e-01
  -5.05663832e-01 -5.60502162e-01 -6.08053431e-01 -6.51336098e-01]
 [ 4.29293884e-01  4.42339023e-01  4.35123700e-01  4.11772927e-01
   3.74993500e-01  3.26572353e-01  2.68133431e-01  2.01061038e-01
   1.26405657e-01  4.47166245e-02 -4.39390298e-02 -1.39662076e-01
  -2.42399815e-01 -3.50160734e-01 -4.55133029e-01 -5.46059428e-01
  -6.19975195e-01 -6.81223351e-01 -7.37148320e-01 -7.88031599e-01]
 [ 4.33612925e-01  4.53551870e-01  4.50192760e-01  4.26667434e-01
   3.86691147e-01  3.32688929e-01  2.66632980e-01  1.90138775e-01
   1.04341308e-01  9.83969396e-03 -9.32670292e-02 -2.04969174e-01
  -3.24998607e-01 -4.49206231e-01 -5.66530572e-01 -6.65568555e-01
  -7.46514764e-01 -8.16837553e-01 -8.82509454e-01 -9.41526376e-01]
 [ 4.29660630e-01  4.57769718e-01  4.61316705e-01  4.39094492e-01
   3.96544714e-01  3.36984424e-01  2.62896272e-01  1.76219318e-01
   7.82342342e-02 -3.03484227e-02 -1.49369603e-01 -2.78732771e-01
  -4.17600517e-01 -5.59021864e-01 -6.88580351e-01 -7.97055879e-01
  -8.86905291e-01 -9.68640910e-01 -1.04469772e+00 -1.11287731e+00]
 [ 4.18881858e-01  4.55389113e-01  4.68409859e-01  4.49179418e-01
   4.04677066e-01  3.39532313e-01  2.56949821e-01  1.59267202e-01
   4.80099913e-02 -7.59946767e-02 -2.12492036e-01 -3.61337314e-01
  -5.20483882e-01 -6.79658763e-01 -8.22284763e-01 -9.41573468e-01
  -1.04268180e+00 -1.13713582e+00 -1.22452626e+00 -1.30342404e+00]
 [ 4.04003437e-01  4.46123231e-01  4.71177723e-01  4.56932256e-01
   4.11140207e-01  3.40371931e-01  2.48803119e-01  1.39249011e-01
   1.35686918e-02 -1.27284627e-01 -2.82925773e-01 -4.53135729e-01
  -6.33784564e-01 -8.11663987e-01 -9.68650252e-01 -1.10032019e+00
  -1.21461740e+00 -1.32306603e+00 -1.42317780e+00 -1.51426687e+00]
 [ 3.85937695e-01  4.32307174e-01  4.69004563e-01  4.62272525e-01
   4.15947921e-01  3.39531814e-01  2.38448092e-01  1.16112240e-01
  -2.52161696e-02 -1.84425566e-01 -3.60994581e-01 -5.54333313e-01
  -7.57880000e-01 -9.55765650e-01 -1.12875849e+00 -1.27398303e+00
  -1.40347606e+00 -1.52765196e+00 -1.64156772e+00 -1.74644178e+00]
 [ 3.65000709e-01  4.16423158e-01  4.61121448e-01  4.65035357e-01
   4.19095281e-01  3.37031557e-01  2.25860633e-01  8.97838750e-02
  -6.84986505e-02 -2.47648446e-01 -4.46988293e-01 -6.65036722e-01
  -8.93511417e-01 -1.11282094e+00 -1.30321935e+00 -1.46321397e+00
  -1.61047538e+00 -1.75179061e+00 -1.88046288e+00 -2.00113019e+00]
 [ 3.41341919e-01  3.98681945e-01  4.48799121e-01  4.64958661e-01
   4.20561435e-01  3.32865661e-01  2.11004701e-01  6.01672070e-02
  -1.16442262e-01 -3.17197236e-01 -5.41063204e-01 -7.85785137e-01
  -1.04129972e+00 -1.28366578e+00 -1.49221699e+00 -1.66924076e+00
  -1.83654278e+00 -1.99610203e+00 -2.14085488e+00 -2.27953225e+00]
 [ 3.15258565e-01  3.79482111e-01  4.33872317e-01  4.61650233e-01
   4.20298428e-01  3.27008724e-01  1.93829985e-01  2.71508930e-02
  -1.69217386e-01 -3.93267034e-01 -6.43353907e-01 -9.17223934e-01
  -1.20210101e+00 -1.46850712e+00 -1.69641278e+00 -1.89325060e+00
  -2.08223989e+00 -2.26137180e+00 -2.42388329e+00 -2.58280179e+00]]",table of aero power coefficient
